"group_id"	"type"	"items_in_group"	"lo_value"	"p"	"FDR"	"goodsgrna"	"rank"	"log2FoldChange"
"NEIL2"	"x"	6	0.014983	0.03932	0.782826	2	66	-0.1575
"nc_chr2_8"	"n"	1	0.015216	0.015082	0.781704	1	67	-0.473
"NCOR1"	"x"	6	0.015619	0.040816	0.782826	2	68	-0.137
"PTPRD"	"x"	6	0.015676	0.040965	0.782826	3	69	-0.176
"MAP3K7"	"x"	5	0.016249	0.040872	0.782826	3	70	-0.274
"CBY1"	"x"	6	0.016256	0.042162	0.787574	1	71	0.00449999999999999
"nc_chr6_10"	"n"	1	0.016307	0.016341	0.781704	1	72	-0.34
"SFN"	"x"	6	0.016532	0.042779	0.787574	3	73	-0.08715
"HELQ"	"x"	6	0.016974	0.043682	0.787574	1	74	-0.12705
"FCGR2A"	"x"	6	0.017193	0.044112	0.787574	3	75	-0.1247
"TSC2"	"x"	6	0.017691	0.045321	0.800011	1	76	-0.14635
"IKBKB"	"x"	6	0.01794	0.045882	0.800011	2	77	-0.3345
"TGFBR1"	"x"	6	0.018328	0.046823	0.800011	3	78	-0.3035
"nc_chrX_4"	"n"	1	0.019096	0.019313	0.781704	1	79	-0.535
"CDH16"	"x"	6	0.019123	0.048561	0.820887	1	80	-0.06295
"ID2"	"x"	6	0.019839	0.050044	0.837051	1	81	-0.1975
"CIC"	"x"	6	0.020042	0.050574	0.837098	2	82	-0.17895
"MAPK13"	"x"	6	0.020483	0.051521	0.838604	3	83	-0.073
"PAGR1"	"x"	6	0.020554	0.05172	0.838604	1	84	-0.0166
"nc_chr21_2"	"n"	1	0.021278	0.021363	0.781704	1	85	-0.323
"ACTB"	"x"	6	0.022697	0.05635	0.871242	2	86	-0.07595
"STAG3"	"x"	6	0.022751	0.056449	0.871242	2	87	-0.289
"CAPN1"	"x"	6	0.022849	0.056761	0.871242	3	88	-0.2065
"ERCC6"	"x"	6	0.022915	0.056904	0.871242	3	89	-0.214
"nc_chr7_1"	"n"	1	0.022975	0.023126	0.781704	1	90	-0.3
"CSF2RA"	"x"	6	0.022981	0.057054	0.871242	3	91	-0.04385
"nc_chr3_1"	"n"	1	0.023218	0.023388	0.781704	1	92	-0.17
"STK11"	"x"	6	0.023259	0.05777	0.871242	3	93	-0.325
"FOXG1"	"x"	6	0.023773	0.058879	0.871242	2	94	0.16745
"ANAPC7"	"x"	6	0.024123	0.059708	0.871242	2	95	-0.2125
"FOS"	"x"	6	0.024191	0.059851	0.871242	3	96	-0.21
"HBP1"	"x"	6	0.024397	0.060313	0.871242	3	97	-0.2175
"CFL2"	"x"	6	0.024684	0.060936	0.872313	2	98	-0.157
"SERPINF1"	"x"	6	0.025228	0.062201	0.87466	3	99	-0.279
"APOA1"	"x"	6	0.025548	0.062905	0.876802	2	100	0.0504
"RAD51C"	"x"	6	0.02626	0.064543	0.882838	1	101	-0.14
"RECQL5"	"x"	6	0.026279	0.064587	0.882838	3	102	-0.11765
"KCNK3"	"x"	6	0.026434	0.065004	0.882838	3	103	-0.13745
"nc_chr20_7"	"n"	1	0.026613	0.02664	0.781704	1	104	-1.01
"nc_chr10_5"	"n"	1	0.026855	0.026815	0.781704	1	105	-0.21
"PIP4K2A"	"x"	6	0.027682	0.067534	0.88936	2	106	0.083925
"HIC1"	"x"	6	0.027748	0.067721	0.88936	3	107	-0.0745
"CARHSP1"	"x"	6	0.02797	0.068232	0.88936	3	108	-0.168
"SET"	"x"	6	0.028392	0.06921	0.88936	2	109	-0.1255
"SHC1"	"x"	6	0.029634	0.071877	0.88936	3	110	-0.177
"PAK6"	"x"	6	0.02974	0.072102	0.88936	2	111	-0.1565
"RIPK1"	"x"	6	0.029788	0.072176	0.88936	3	112	-0.1298
"PIK3R1"	"x"	6	0.029812	0.072214	0.88936	2	113	-0.156
"NUMB"	"x"	6	0.030098	0.072887	0.88936	3	114	-0.1642
"PMS2"	"x"	6	0.030311	0.073323	0.88936	2	115	-0.133
"nc_chr17_10"	"n"	1	0.030492	0.030553	0.781704	1	116	-1.15
"CAMK2B"	"x"	6	0.030521	0.073703	0.88936	2	117	-0.14695
"ERCC5"	"x"	6	0.030722	0.074046	0.88936	3	118	-0.12005
"PDK2"	"x"	6	0.030742	0.074095	0.88936	2	119	-0.2735
"BRAT1"	"x"	6	0.03123	0.075205	0.88936	1	120	-0.0498
"CTBP1"	"x"	6	0.031938	0.076669	0.88936	2	121	-0.02655
"BACE1"	"x"	6	0.032493	0.077846	0.88936	2	122	-0.129
"CUL4B"	"x"	6	0.03264	0.07822	0.88936	3	123	-0.178
"XRCC2"	"x"	6	0.032646	0.078227	0.88936	1	124	-0.0651
"IL10RA"	"x"	6	0.032722	0.078401	0.88936	3	125	-0.1237
"SHPRH"	"x"	6	0.032789	0.0786	0.88936	3	126	-0.28
"APC2"	"x"	6	0.032967	0.079061	0.88936	3	127	-0.282
"MAP4K4"	"x"	6	0.033086	0.079305	0.88936	2	128	-0.13695
"AHCYL1"	"x"	6	0.033353	0.079909	0.88936	1	129	0.02305
"nc_chr12_8"	"n"	1	0.033645	0.033594	0.781704	1	130	-0.307
"GRB2"	"x"	6	0.033833	0.080893	0.88936	2	131	-0.1017
"PER3"	"x"	6	0.03406	0.081473	0.88936	1	132	0.07375
"RAC3"	"x"	6	0.034374	0.082108	0.88936	3	133	-0.2465
"nc_chr4_1"	"n"	1	0.035342	0.035295	0.781704	1	134	-0.339
"MUC1"	"x"	6	0.035473	0.084445	0.88936	1	135	-0.119
"nc_chr2_10"	"n"	1	0.035584	0.035544	0.781704	1	136	-0.217
"AKT3"	"x"	6	0.035645	0.0848	0.88936	3	137	-0.2725
"nc_chr9_9"	"n"	1	0.035948	0.035912	0.781704	1	138	-0.356
"JAK2"	"x"	6	0.036178	0.08604	0.88936	1	139	0.08405
"CDH11"	"x"	6	0.036271	0.086296	0.88936	3	140	-0.309
"CDC45"	"x"	6	0.036884	0.087579	0.88936	1	141	0.058
"IL21R"	"x"	6	0.037117	0.088115	0.88936	3	142	-0.288
"AGO2"	"x"	6	0.037204	0.088277	0.88936	3	143	-0.2855
"ST3GAL3"	"x"	6	0.037588	0.089056	0.88936	1	144	-0.2
"EPOR"	"x"	6	0.03783	0.089642	0.88936	2	145	-0.00715
"SIAH2"	"x"	6	0.03791	0.089785	0.88936	3	146	-0.1193
"EP300"	"x"	6	0.038293	0.09062	0.88936	1	147	0.1175
"ERCC3"	"x"	6	0.03862	0.091187	0.88936	2	148	-0.00305
"PPP5C"	"x"	6	0.038623	0.091187	0.88936	3	149	-0.267
"GTF2H3"	"x"	6	0.038997	0.092053	0.88936	1	150	0.044
"nc_chr5_10"	"n"	1	0.039343	0.039482	0.782826	1	151	-0.228
"nc_chr21_9"	"n"	1	0.041283	0.041383	0.782826	1	152	-0.355
"PMS1"	"x"	6	0.04152	0.09525	0.88936	2	153	-0.318
"CSF1R"	"x"	6	0.041808	0.095586	0.88936	2	154	-0.10575
"HSPA1A"	"x"	6	0.043211	0.097418	0.88936	2	155	-0.1206
"nc_chr12_4"	"n"	1	0.043344	0.043651	0.787574	1	156	-0.147
"BAZ1B"	"x"	6	0.045313	0.10038	0.88936	1	157	0.1145
"CCNB1"	"x"	6	0.046013	0.10141	0.88936	1	158	-0.11457
"MDM2"	"x"	6	0.04603	0.10142	0.88936	2	159	0.212
"MKNK2"	"x"	6	0.046372	0.10186	0.88936	2	160	-0.143
"nc_chr15_8"	"n"	1	0.046375	0.046667	0.800011	1	161	-0.269
"MPG"	"x"	6	0.046712	0.10231	0.88936	1	162	-0.0293
"BDP1"	"x"	6	0.047411	0.10324	0.88936	1	163	-0.1072
"PRKCE"	"x"	6	0.047576	0.10349	0.88936	2	164	-0.2395
"PIP4K2B"	"x"	6	0.048109	0.10413	0.88936	2	165	0.1258
"ITGB4"	"x"	6	0.048966	0.10524	0.88936	2	166	-0.04925
"PRH1"	"x"	5	0.049022	0.093642	0.88936	1	167	-0.0761
"NR1D1"	"x"	6	0.049505	0.10597	0.88936	1	168	-0.010675
"CRTC2"	"x"	6	0.049844	0.10648	0.88936	2	169	-0.038
"MAP2K1"	"x"	6	0.050202	0.10685	0.88936	2	170	-0.14295
"UNG"	"x"	6	0.051595	0.10888	0.88936	1	171	0.0489
"NR4A3"	"x"	6	0.051617	0.10891	0.88936	2	172	-0.14605
"APC"	"x"	6	0.051796	0.10913	0.88936	2	173	-0.11905
"CENPP"	"x"	6	0.051975	0.10932	0.88936	2	174	-0.0307
"DES"	"x"	6	0.05229	0.10969	0.88936	1	175	0.2695
"IL10"	"x"	6	0.052986	0.11055	0.88936	2	176	-0.2575
"RCAN1"	"x"	6	0.053597	0.11135	0.88936	2	177	-0.07475
"LAMTOR3"	"x"	6	0.053681	0.11147	0.88936	1	178	0.0868
"SMURF1"	"x"	6	0.054324	0.1123	0.88936	2	179	-0.09685
"CCR2"	"x"	6	0.054375	0.11235	0.88936	1	180	0.1895
"MYLK"	"x"	6	0.055054	0.11318	0.88936	2	181	-0.165
"TBC1D4"	"x"	6	0.055069	0.11321	0.88936	2	182	-0.0337
"HAMP"	"x"	6	0.055605	0.11395	0.88936	2	183	-0.0713
"BAX"	"x"	6	0.056158	0.11464	0.88936	2	184	-0.2395
"KLK11"	"x"	6	0.056343	0.11492	0.88936	2	185	-0.186
"ATG13"	"x"	6	0.056456	0.11505	0.88936	1	186	0.0277
"ATM"	"x"	6	0.057084	0.11589	0.88936	2	187	0.04678
"DNMT3A"	"x"	6	0.057149	0.11597	0.88936	1	188	-0.040575
"RRN3"	"x"	6	0.057643	0.11649	0.88936	2	189	-0.00729
"CASP9"	"x"	6	0.057842	0.11675	0.88936	1	190	-0.12455
"POLD4"	"x"	6	0.058578	0.11785	0.891726	2	191	-0.1208
"nc_chr18_8"	"n"	1	0.058742	0.059266	0.871242	1	192	-0.18
"nc_chr19_3"	"n"	1	0.059105	0.059627	0.871242	1	193	-0.219
"DERL2"	"x"	6	0.059225	0.1187	0.893928	1	194	0.2665
"IL3RA"	"x"	6	0.059709	0.11929	0.894148	2	195	-0.06455
"TSC1"	"x"	6	0.061038	0.12113	0.895714	2	196	-0.1459
"nc_chrX_11"	"n"	1	0.061045	0.06164	0.874514	1	197	-0.235
"WWTR1"	"x"	6	0.061987	0.12253	0.895714	1	198	-0.1325
"PPP1R3A"	"x"	5	0.062915	0.11326	0.88936	1	199	-0.0965
"LAT"	"x"	6	0.062957	0.12376	0.895714	2	200	0.01355
"CEBPD"	"x"	6	0.064054	0.12503	0.895714	1	201	-0.037365
"SH2B2"	"x"	6	0.064119	0.1251	0.895714	2	202	0.02025
"MAD1L1"	"x"	5	0.06464	0.11571	0.88936	1	203	-0.138
"ADAM17"	"x"	6	0.064743	0.12606	0.895714	1	204	0.0604
"KLRG2"	"x"	6	0.065289	0.12684	0.895714	2	205	-0.2185
"ORC4"	"x"	6	0.066074	0.12785	0.895714	2	206	-0.2145
"PER2"	"x"	6	0.066805	0.12885	0.895714	2	207	-0.00525
"MAP2K2"	"x"	6	0.067852	0.13023	0.895714	2	208	0.01905
"MAPKAPK3"	"x"	6	0.06825	0.13068	0.895714	2	209	-0.077
"HMGN1"	"x"	6	0.068449	0.13099	0.895714	2	210	-0.0541
"PTK6"	"x"	6	0.068863	0.13163	0.895714	1	211	-0.026405
"FAN1"	"x"	6	0.069048	0.13186	0.895714	2	212	0.072
"GAB1"	"x"	6	0.069248	0.1321	0.895714	2	213	-0.0224
"SOX17"	"x"	6	0.069548	0.13255	0.895714	1	214	-0.14445
"FANCF"	"x"	6	0.069648	0.13265	0.895714	2	215	0.03825
"SOX3"	"x"	6	0.070233	0.13331	0.895714	1	216	0.068881
"MAPK6"	"x"	6	0.070654	0.13393	0.895714	2	217	-0.06345
"ARAF"	"x"	6	0.070917	0.13424	0.895714	2	218	-0.0197
"MASTL"	"x"	6	0.071665	0.13527	0.895714	2	219	-0.08595
"LATS1"	"x"	6	0.072071	0.13571	0.895714	2	220	-0.17315
"MAP3K4"	"x"	6	0.072285	0.13593	0.895714	2	221	-0.1886
"nc_chr14_2"	"n"	1	0.072442	0.072868	0.88936	1	222	-0.217
"EIF4EBP1"	"x"	6	0.072968	0.13681	0.895714	1	223	-0.05475
"HMGA2"	"x"	6	0.073651	0.13773	0.896912	2	224	-0.0604
"CCNB3"	"x"	6	0.076378	0.14121	0.912791	1	225	-0.131
"FGFR1"	"x"	6	0.076799	0.14169	0.912791	2	226	-0.281
"PSMG2"	"x"	6	0.077738	0.14303	0.912791	1	227	-0.04785
"ILF3"	"x"	6	0.07805	0.14337	0.912791	2	228	-0.0847
"FZD5"	"x"	6	0.078889	0.14457	0.912791	2	229	0.03955
"IRF3"	"x"	6	0.079777	0.14581	0.912791	1	230	-0.0731
"TEC"	"x"	6	0.080152	0.14638	0.912791	2	231	-0.0787
"nc_chr15_7"	"n"	1	0.081171	0.081791	0.88936	1	232	-0.29
"nc_chr17_9"	"n"	1	0.081292	0.081934	0.88936	1	233	-0.194
"NR4A1"	"x"	6	0.083842	0.15129	0.912791	1	234	0.0485
"BCL2L11"	"x"	6	0.083987	0.15145	0.912791	2	235	-0.0976
"KRAS"	"x"	6	0.084518	0.15216	0.912791	1	236	0.365
"ERRFI1"	"x"	5	0.08479	0.14426	0.912791	2	237	-0.0287
"FBXW11"	"x"	6	0.084848	0.15268	0.912791	2	238	-0.204
"MAP3K11"	"x"	6	0.085193	0.15317	0.912791	2	239	0.0523
"SLC9A1"	"x"	6	0.08528	0.15332	0.912791	2	240	0.0586
"RELB"	"x"	6	0.085496	0.15357	0.912791	2	241	-0.1921
"RAD1"	"x"	6	0.085712	0.15386	0.912791	2	242	0.01918
"CCNA1"	"x"	6	0.085869	0.15407	0.912791	1	243	0.113
"PPP2R5D"	"x"	6	0.086579	0.15497	0.912791	2	244	-0.19605
"PIK3R3"	"x"	6	0.087218	0.1558	0.912791	1	245	-0.1415
"nc_chr19_1"	"n"	1	0.087476	0.087847	0.88936	1	246	-0.22
"TOP2A"	"x"	6	0.087668	0.15648	0.912791	2	247	-0.213
"RPL35A"	"p"	6	0.088761	0.1578	0.912791	2	248	0.03685
"PRKAG1"	"x"	6	0.089199	0.1583	0.912791	2	249	-0.1181
"RBM38"	"x"	6	0.089238	0.15834	0.912791	2	250	-0.13779
"nc_chr20_4"	"n"	1	0.089416	0.08966	0.88936	1	251	-0.383
"POLD2"	"x"	6	0.090583	0.1601	0.912791	1	252	0.0235
"SGK3"	"x"	6	0.091927	0.1618	0.912791	1	253	0.03965
"AREG"	"x"	6	0.092598	0.16267	0.912791	2	254	-0.06165
"MAPK8IP3"	"x"	6	0.092735	0.16284	0.912791	2	255	-0.0957
"ITK"	"x"	6	0.092958	0.16314	0.912791	2	256	-0.0417
"nc_chr18_9"	"n"	1	0.093902	0.094302	0.88936	1	257	-0.355
"PRKAB2"	"x"	5	0.094119	0.15725	0.912791	2	258	-0.0295
"PALLD"	"x"	6	0.094609	0.16526	0.918827	2	259	-0.08765
"nc_chr19_8"	"n"	1	0.095478	0.096003	0.88936	1	260	-0.361
"CREB1"	"x"	6	0.095947	0.16697	0.918827	1	261	-0.096
"CDK9"	"x"	6	0.096093	0.16714	0.918827	2	262	-0.12505
"BCL2L1"	"x"	6	0.097284	0.16868	0.918827	2	263	-0.1059
"HCLS1"	"x"	6	0.097901	0.16955	0.918827	2	264	-0.0517
"GADD45A"	"x"	6	0.097952	0.16963	0.918827	2	265	-0.05275
"TERT"	"x"	6	0.098582	0.17043	0.918827	2	266	-0.06365
"VIM"	"x"	6	0.098619	0.17051	0.918827	1	267	-0.0523
"KIF18B"	"x"	6	0.099037	0.17101	0.918827	2	268	-0.1111
"HDAC4"	"x"	6	0.099952	0.17208	0.918827	1	269	-0.021735
"MYOCD"	"x"	6	0.10041	0.17271	0.918827	2	270	-0.00935
"nc_chr12_3"	"n"	1	0.10045	0.10129	0.88936	1	271	-0.211
"ERG"	"x"	6	0.10062	0.17299	0.918827	2	272	-0.07875
"KMT2D"	"x"	6	0.10086	0.17328	0.918827	2	273	-0.1975
"AXIN2"	"x"	6	0.10128	0.17383	0.918827	1	274	0.0491
"nc_chr16_2"	"n"	1	0.10178	0.10264	0.88936	1	275	-0.137
"DUSP4"	"x"	6	0.10195	0.17477	0.918827	2	276	-0.09865
"MEN1"	"x"	6	0.10261	0.17558	0.918827	1	277	-0.0065
"RPS6KA4"	"x"	5	0.10379	0.1708	0.918827	2	278	-0.214
"PTPN2"	"x"	6	0.10394	0.17737	0.918827	1	279	-0.012895
"OGG1"	"x"	6	0.10593	0.17987	0.918827	2	280	-0.267
"nc_chr13_6"	"n"	1	0.10675	0.10768	0.88936	1	281	-0.123
"HES1"	"x"	6	0.10688	0.18117	0.918827	2	282	-0.11635
"ULK2"	"x"	6	0.10726	0.18162	0.918827	1	283	-0.033245
"nc_chr4_9"	"n"	1	0.10736	0.10832	0.88936	1	284	-0.232
"FAM107A"	"x"	6	0.10758	0.18203	0.918827	2	285	-0.1067
"DUSP2"	"x"	6	0.10792	0.18255	0.918827	1	286	-0.0608
"MTCP1"	"x"	6	0.10851	0.18334	0.918827	2	287	-0.04925
"IL6"	"x"	6	0.10858	0.1834	0.918827	2	288	-0.0452
"RPL5"	"p"	6	0.10969	0.18488	0.918827	2	289	0.1334
"PLN"	"x"	6	0.1099	0.18522	0.918827	2	290	-0.017975
"nc_chr19_9"	"n"	1	0.11051	0.11162	0.88936	1	291	-1.2
"PARP2"	"x"	6	0.11056	0.18613	0.918827	1	292	-0.01255
"CCND2"	"x"	6	0.11111	0.18684	0.918827	2	293	-0.13072
"CSNK1D"	"x"	6	0.11122	0.18703	0.918827	1	294	0.07145
"TOB1"	"x"	6	0.11158	0.18754	0.918827	2	295	0.1055
"FZD6"	"x"	6	0.11188	0.18793	0.918827	2	296	-0.12525
"NFE2L1"	"x"	5	0.1124	0.18292	0.918827	2	297	-0.144
"nc_chr19_11"	"n"	1	0.11269	0.11371	0.88936	1	298	-0.393
"TAOK3"	"x"	6	0.11395	0.19068	0.928578	2	299	-0.0847
"ELK3"	"x"	5	0.11413	0.18549	0.918827	1	300	-0.0283
"GLI1"	"x"	6	0.11451	0.19138	0.928578	2	301	0.0135
"PKD2"	"x"	6	0.11517	0.19228	0.928578	1	302	0.10085
"NCOR2"	"x"	6	0.11539	0.19253	0.928578	2	303	-0.1945
"CTNNA1"	"x"	6	0.11563	0.19284	0.928578	2	304	-0.2245
"nc_chr20_3"	"n"	1	0.11609	0.11698	0.88936	1	305	-0.174
"AURKA"	"x"	6	0.11714	0.19504	0.933511	1	306	0.05185
"VAV1"	"x"	6	0.11779	0.196	0.935287	1	307	0.00225
"POU5F1"	"x"	6	0.11845	0.19688	0.936637	1	308	0.224
"KAT2B"	"x"	6	0.11924	0.19793	0.938836	2	309	-0.0115
"WDR73"	"x"	6	0.11972	0.19859	0.939165	2	310	-0.08265
"nc_chr9_2"	"n"	1	0.12009	0.12122	0.895714	1	311	-0.15
"nc_chr10_1"	"n"	1	0.12045	0.12152	0.895714	1	312	-0.145
"CFL1"	"x"	5	0.12063	0.19448	0.933511	2	313	-0.131
"BIRC5"	"x"	6	0.12069	0.19989	0.942518	2	314	-0.12465
"nc_chr15_5"	"n"	1	0.1213	0.12232	0.895714	1	315	-0.171
"AMER1"	"x"	6	0.12172	0.20116	0.943639	1	316	-0.2075
"AKT2"	"x"	6	0.12215	0.20173	0.943639	2	317	-0.09
"RAD51D"	"x"	6	0.12264	0.20226	0.943639	2	318	0.00635
"ARHGEF1"	"x"	6	0.12302	0.20279	0.943639	1	319	0.040045
"RPS19"	"p"	6	0.12368	0.20361	0.943639	1	320	0.295
"PKN2"	"x"	6	0.12433	0.20437	0.944005	1	321	-0.03
"DPH6"	"x"	6	0.12498	0.20518	0.94462	1	322	0.05445
"SMOC1"	"x"	6	0.12607	0.20655	0.94462	2	323	-0.08677
"CDK7"	"x"	6	0.12628	0.20688	0.94462	1	324	0.233
"nc_chr16_7"	"n"	1	0.127	0.12796	0.895714	1	325	-0.318
"MIOS"	"x"	6	0.12731	0.20813	0.947519	2	326	-0.229
"TACC3"	"x"	6	0.12952	0.21095	0.95107	1	327	0.11355
"nc_chr14_9"	"n"	1	0.12955	0.1305	0.895714	1	328	-0.23
"RDX"	"x"	6	0.12978	0.21128	0.95107	2	329	-0.2195
"PPP2R5A"	"x"	6	0.13053	0.21229	0.952914	2	330	-0.04035
"TAF5L"	"x"	5	0.13105	0.20891	0.947519	1	331	-0.131
"UBE2A"	"x"	6	0.13202	0.21434	0.956711	2	332	-0.247
"BMPR2"	"x"	6	0.13277	0.21526	0.957329	2	333	-0.0405
"nc_chr6_7"	"n"	1	0.13355	0.13442	0.895714	1	334	-0.12
"ACSL3"	"x"	6	0.13377	0.21657	0.957329	2	335	-0.108945
"TAOK2"	"x"	6	0.13405	0.21689	0.957329	1	336	0.013
"CRB2"	"x"	5	0.13489	0.21417	0.956711	2	337	-0.182
"PTPA"	"x"	6	0.13598	0.21936	0.958945	1	338	0.011975
"nc_chr17_5"	"n"	1	0.13609	0.13698	0.895714	1	339	-0.129
"WNK1"	"x"	6	0.13629	0.21979	0.958945	2	340	-0.0469
"RORC"	"x"	6	0.13654	0.22013	0.958945	2	341	-0.095285
"CDCA8"	"x"	6	0.13663	0.22027	0.958945	1	342	0.0317
"PHLPP1"	"x"	6	0.13791	0.22184	0.963142	2	343	-0.198
"PRKAA1"	"x"	6	0.13983	0.22439	0.96544	2	344	-0.13085
"CCT2"	"x"	6	0.13984	0.22439	0.96544	1	345	-0.0485
"PHLPP2"	"x"	6	0.14034	0.22505	0.96544	2	346	-0.1165
"ALYREF"	"x"	6	0.14048	0.22525	0.96544	1	347	0.05155
"EEF1A1"	"x"	6	0.1411	0.22599	0.96544	2	348	-0.222
"FBXO4"	"x"	6	0.14112	0.22602	0.96544	1	349	-0.0073
"PTAR1"	"x"	6	0.14263	0.22827	0.968247	2	350	-0.00115
"CREBBP"	"x"	6	0.14304	0.22881	0.968247	1	351	0.03375
"nc_chr3_6"	"n"	1	0.14313	0.1441	0.912791	0	352	-0.223
"NOS3"	"x"	6	0.14493	0.23123	0.968247	2	353	-0.1315
"POLI"	"x"	6	0.14496	0.23128	0.968247	1	354	-0.04625
"YBX1"	"x"	6	0.1456	0.23198	0.968247	1	355	0.0989
"COPZ1"	"p"	6	0.1457	0.23214	0.968247	2	356	0.09942
"nc_chr12_7"	"n"	1	0.14579	0.1465	0.912791	0	357	-0.137
"PRKAG3"	"x"	6	0.14596	0.23249	0.968247	2	358	-0.10525
