source_hgnc	interaction_directed_signed	target_hgnc	source_uniprot	target_uniprot	source_hgnc_status	target_hgnc_status
PDZD8	form complex	MSN/PDZD8	Q8NEN9	SIGNOR-C61	1	0
MSN	form complex	MSN/PDZD8	P26038	SIGNOR-C61	1	0
MAP3K7	1	NfKb-p65/p50	O43318	SIGNOR-C13	1	0
TNF	1	PIK3CB	P01375	P42338	1	1
TNF	1	PIK3CD	P01375	O00329	1	1
PIK3C2A	1	PLCG1	O00443	P19174	1	1
MAPK14	1	PPARG	Q16539	P37231	1	1
metformin	1	PRKAA1	CID:4091	Q13131	0	1
metformin	1	PRKAA2	CID:4091	P54646	0	1
SRC	unknown	PROM1	P12931	O43490	1	1
PTEN	1	PTEN	P60484	P60484	1	1
PIK3R1	1	PtsIns(3,4,5)P3	P27986	CID:24755492	1	0
Torin 2	-1	RPS6KB1	CID:51358113	P23443	0	1
TGFB1	-1	SKP2	P01137	Q13309	1	1
EXOC7	1	SLC2A4	Q9UPT5	P14672	1	1
TBC1D4	-1	SLC2A4	O60343	P14672	1	1
MAPK1	1	SLC2A4	P28482	P14672	1	1
RHOQ	1	SLC2A4	P17081	P14672	1	1
okadaic acid	1	STK3	CID:446512	Q13188	0	1
okadaic acid	1	STK4	CID:446512	Q13043	0	1
INS	1	TRIP10	P01308	Q15642	1	1
dobutamine	-1	YAP1	CID:36811	P46937	0	1
CTNND1	-1	ZBTB33	O60716	Q86T24	1	1
AKT	-1	FOXO1	SIGNOR-PF24	Q12778	0	1
AKT	-1	FOXO1	SIGNOR-PF24	Q12778	0	1
AKT	-1	FOXO1	SIGNOR-PF24	Q12778	0	1
PTEN	1	PTEN	P60484	P60484	1	1
CEBPB	1	SREBF1	P17676	P36956	1	1
rosiglitazone	1	PPARG	CID:77999	P37231	0	1
EGR2	1	CEBPB	P11161	P17676	1	1
SHOC2	1	PPP1CA	Q9UQ13	P62136	1	1
RIT1	1	BRAF	Q92963	P15056	1	1
PRKDC	1	PRKDC	P78527	P78527	1	1
PRKCA	1	PFKFB2	P17252	O60825	1	1
PRKCA	1	GJB1	P17252	P08034	1	1
YY1	-1	NOTCH1	P25490	P46531	1	1
ERK1/2	1	AP1	SIGNOR-PF1	SIGNOR-C154	0	0
MAPK8	1	AP1	P45983	SIGNOR-C154	1	0
MAPK8	1	AP1	P45983	SIGNOR-C154	1	0
PRKCA	unknown	MBP	P17252	P02686	1	1
PRKACA	unknown	NOS1	P17612	P29475	1	1
CSNK2A2	-1	CTDP1	P19784	Q9Y5B0	1	1
CSNK2A2	-1	CTDP1	P19784	Q9Y5B0	1	1
CSNK2A2	1	CDC37	P19784	Q16543	1	1
CDK2	1	MYBL2	P24941	P10244	1	1
CDK2	1	MYBL2	P24941	P10244	1	1
MAPK3	-1	STMN1	P27361	P16949	1	1
331771-20-1	-1	AURKB	CID:9914412	Q96GD4	0	1
COL1A2	1	ECM Synthesis	P08123	SIGNOR-PH8	1	0
ERK1/2	1	AP1	SIGNOR-PF1	SIGNOR-C154	0	0
PRKCB	unknown	PRKCB	P05771	P05771	1	1
PRKCA	unknown	MBP	P17252	P02686	1	1
PRKCA	1	GJB1	P17252	P08034	1	1
CDK2	1	MYBL2	P24941	P10244	1	1
CDK2	1	MYBL2	P24941	P10244	1	1
PRKDC	1	PRKDC	P78527	P78527	1	1
CAMKK1	1	CAMK1D	Q8N5S9	Q8IU85	1	1
PRKDC	1	PRKDC	P78527	P78527	1	1
PRKCA	unknown	MBP	P17252	P02686	1	1
PRKDC	1	PRKDC	P78527	P78527	1	1
ERK1/2	1	AP1	SIGNOR-PF1	SIGNOR-C154	0	0
CSNK2A1	-1	CTDP1	P68400	Q9Y5B0	1	1
PRKACA	unknown	VTN	P17612	P04004	1	1
CLK1	1	PTPN1	P49759	P18031	1	1
CSNK2A1	-1	AQP4	P68400	P55087	1	1
CSNK2A1	-1	AQP4	P68400	P55087	1	1
CSNK2A1	-1	CTDP1	P68400	Q9Y5B0	1	1
CLK2	1	PTPN1	P49760	P18031	1	1
CSNK2B	-1	CTDP1	P67870	Q9Y5B0	1	1
CSNK2B	1	CD163	P67870	Q86VB7	1	1
ERK1/2	1	AP1	SIGNOR-PF1	SIGNOR-C154	0	0
CLK2	1	PTPN1	P49760	P18031	1	1
TBX2	-1	MYOG	Q13207	P15173	1	1
Pax7-FOXO1	1	FGFR4	F8TAD1	P22455	0	1
Pax7-FOXO1	1	MET	F8TAD1	P08581	0	1
Pax7-FOXO1	1	PDGFA	F8TAD1	P04085	0	1
Pax3-FOXO1	1	IGF1R	J9SW06	P08069	0	1
Pax3-FOXO1	1	FGFR4	J9SW06	P22455	0	1
Pax3-FOXO1	1	MET	J9SW06	P08581	0	1
GSK3B	1	AXIN1	P49841	O15169	1	1
GSK3B	1	AXIN1	P49841	O15169	1	1
PRKACA	-1	FOS	P17612	P01100	1	1
TSC2	-1	RPS6KB2	P49815	Q9UBS0	1	1
MRAP	1	MC2R	Q8TCY5	Q01718	1	1
LCK	1	CD3E	P06239	P07766	1	1
NR3C1	1	CEBPB	P04150	P17676	1	1
NR3C1	1	CEBPB	P04150	P17676	1	1
DEPTOR	-1	MTOR	Q8TB45	P42345	1	1
DEPTOR	-1	mTORC1	Q8TB45	SIGNOR-C3	1	0
DEPTOR	-1	mTORC2	Q8TB45	SIGNOR-C2	1	0
STYX	-1	FBXW7	Q8WUJ0	Q969H0	1	1
FKBP5	-1	NR3C1	Q13451	P04150	1	1
NF1	1	ADCY2	P21359	Q08462	1	1
HSPA1A	-1	NR3C1	P0DMV8	P04150	1	1
SGK1	-1	GLI1	O00141	P08151	1	1
SGK1	-1	SMO	O00141	Q99835	1	1
HES1	-1	NR3C1	Q14469	P04150	1	1
NR3C1	-1	JUN	P04150	P05412	1	1
NR3C1	-1	NFKB1	P04150	P19838	1	1
PELP1	1	NR3C1	Q8IZL8	P04150	1	1
NR3C1	1	NCOA1	P04150	Q15788	1	1
NR3C1	1	CAV1	P04150	Q03135	1	1
NR3C1	1	HNF4A	P04150	P41235	1	1
NR3C1	1	LCK	P04150	P06239	1	1
MRAP2	1	MC2R	Q96G30	Q01718	1	1
MRAP	-1	MC4R	Q8TCY5	P32245	1	1
MRAP2	-1	MC4R	Q96G30	P32245	1	1
MRAP	-1	MC1R	Q8TCY5	Q01726	1	1
MRAP2	-1	MC1R	Q96G30	Q01726	1	1
MRAP	-1	MC3R	Q8TCY5	P41968	1	1
MRAP2	-1	MC3R	Q96G30	P41968	1	1
MRAP	-1	MC5R	Q8TCY5	P33032	1	1
MRAP2	-1	MC5R	Q96G30	P33032	1	1
POMC	1	MC1R	P01189	Q01726	1	1
HSPA1A	-1	APAF1	P0DMV8	O14727	1	1
HSPA1A	-1	MAPK8	P0DMV8	P45983	1	1
CARM1	1	SMARCC1	Q86X55	Q92922	1	1
POMC	-1	NFKB1	P01189	P19838	1	1
PRCP	-1	POMC	P42785	P01189	1	1
POMC	1	MC4R	P01189	P32245	1	1
MC1R	1	Pigmentation	Q01726	SIGNOR-PH70	1	0
MC1R	-1	TNF	Q01726	P01375	1	1
UV stress	1	CDKN2A	SIGNOR-ST7	P42771	0	1
POMC	1	CDKN2A	P01189	P42771	1	1
ASIP	-1	MC1R	P42127	Q01726	1	1
AGRP	-1	MC4R	O00253	P32245	1	1
AGRP	-1	MC3R	O00253	P41968	1	1
TNF	-1	MC1R	P01375	Q01726	1	1
UVB radiation	1	IL1B	SIGNOR-ST17	P01584	0	1
UVB radiation	1	EDN1	SIGNOR-ST17	P05305	0	1
UVB radiation	1	IL1A	SIGNOR-ST17	P01583	0	1
PRKACA	1	CACNA1C	P17612	Q13936	1	1
PAXIP1	1	PAX2	Q6ZW49	Q02962	1	1
IL1B	1	MC1R	P01584	Q01726	1	1
EDN1	1	MC1R	P05305	Q01726	1	1
IL1A	1	MC1R	P01583	Q01726	1	1
UVB radiation	1	MC1R	SIGNOR-ST17	Q01726	0	1
GRK6	-1	MC1R	P43250	Q01726	1	1
dexamethasone	1	NR3C1	CID:5743	P04150	0	1
betamethasone	1	NR3C1	CID:9782	P04150	0	1
budesonide	1	NR3C1	CID:5281004	P04150	0	1
budesonide	1	NR3C1	CID:5281004	P04150	0	1
budesonide	1	NR3C1	CID:5281004	P04150	0	1
budesonide	1	NR3C1	CID:5281004	P04150	0	1
cortisone	1	NR3C1	CID:222786	P04150	0	1
dexamethasone	1	NR3C1	CID:5743	P04150	0	1
dexamethasone	1	NR3C1	CID:5743	P04150	0	1
dexamethasone	1	NR3C1	CID:5743	P04150	0	1
methylprednisolone	1	NR3C1	CID:6741	P04150	0	1
methylprednisolone	1	NR3C1	CID:6741	P04150	0	1
methylprednisolone	1	NR3C1	CID:6741	P04150	0	1
prednisolone	1	NR3C1	CID:5755	P04150	0	1
prednisolone	1	NR3C1	CID:5755	P04150	0	1
prednisolone	1	NR3C1	CID:5755	P04150	0	1
prednisolone	1	NR3C1	CID:5755	P04150	0	1
prednisone	1	NR3C1	CID:5865	P04150	0	1
prednisone	1	NR3C1	CID:5865	P04150	0	1
prednisone	1	NR3C1	CID:5865	P04150	0	1
prednisone	1	NR3C1	CID:5865	P04150	0	1
prednisone	1	NR3C1	CID:5865	P04150	0	1
Dehydroepiandrosterone	1	NR3C1	CID:5881	P04150	0	1
NEFH	1	Neurofilament bundle assembly	P12036	SIGNOR-PH72	1	0
NEFM	1	Neurofilament bundle assembly	P07197	SIGNOR-PH72	1	0
NEFL	1	Neurofilament bundle assembly	P07196	SIGNOR-PH72	1	0
JUN	1	TGFB1	P05412	P01137	1	1
CREB1	1	FST	P16220	P19883	1	1
FST	-1	INHBA	P19883	P08476	1	1
FST	-1	GDF11	P19883	O95390	1	1
FST	-1	MSTN	P19883	O14793	1	1
HIF1A	1	IL1B	Q16665	P01584	1	1
HIF1A	1	CCL2	Q16665	P13500	1	1
HNF1A	1	IGF1	P20823	P05019	1	1
IRF3	1	IL6	Q14653	P05231	1	1
LEF1	1	FST	Q9UJU2	P19883	1	1
CCL3	1	CCR2	P10147	P41597	1	1
CCL3	1	CCR5	P10147	P51681	1	1
MITF	1	TPSAB1	O75030	Q15661	1	1
KAT6A	1	CCL3	Q92794	P10147	1	1
MYOD1	1	FST	P15172	P19883	1	1
NFATC1	1	IL4	O95644	P05112	1	1
NFATC2	1	FST	Q13469	P19883	1	1
NFATC1	1	IL6	O95644	P05231	1	1
NFATC2	1	IL6	Q13469	P05231	1	1
NFATC3	1	IL6	Q12968	P05231	1	1
PPP3CA	1	IL6	Q08209	P05231	1	1
PPP3CB	1	IL6	P16298	P05231	1	1
PPP3CC	1	IL6	P48454	P05231	1	1
RELA	-1	IL1B	Q04206	P01584	1	1
RELA	1	IL6	Q04206	P05231	1	1
RUNX1	1	CCL3	Q01196	P10147	1	1
SP1	1	HGF	P08047	P14210	1	1
SP1	1	TGFB1	P08047	P01137	1	1
SP3	1	HGF	Q02447	P14210	1	1
STAT3	1	HGF	P40763	P14210	1	1
STAT5A	1	IGF1	P42229	P05019	1	1
TPSAB1	1	F2RL1	Q15661	P55085	1	1
WT1	1	AREG	P19544	P15514	1	1
YWHAB	-1	NEFL	P31946	P07196	1	1
YWHAZ	-1	NEFL	P63104	P07196	1	1
YWHAE	-1	NEFL	P62258	P07196	1	1
YWHAQ	-1	NEFL	P27348	P07196	1	1
YWHAG	-1	NEFL	P61981	P07196	1	1
PRKACA	-1	NEFL	P17612	P07196	1	1
NOD2	1	RIPK2	Q9HC29	O43353	1	1
NOD2	1	Autophagy	Q9HC29	SIGNOR-PH31	1	0
NOD1	1	Autophagy	Q9Y239	SIGNOR-PH31	1	0
NOD2	1	ATG16L1	Q9HC29	Q676U5	1	1
PHA-793887	-1	CDK1	CID:46191454	P06493	0	1
HBB	1	CD163	P68871	Q86VB7	1	1
HBA1	1	CD163	P69905	Q86VB7	1	1
HBB	-1	ADAMTS13	P68871	Q76LX8	1	1
HBA1	-1	ADAMTS13	P69905	Q76LX8	1	1
HBB	-1	AHSP	P68871	Q9NZD4	1	1
HBA1	-1	AHSP	P69905	Q9NZD4	1	1
HBB	1	TNF	P68871	P01375	1	1
HBA1	1	TNF	P69905	P01375	1	1
HBB	1	APOB	P68871	P04114	1	1
HBA1	1	APOB	P69905	P04114	1	1
SOX9	1	COL2A1	P48436	P02458	1	1
SOX9	1	COL9A2	P48436	Q14055	1	1
SOX9	1	COL11A2	P48436	P13942	1	1
SOX5	1	COL2A1	P35711	P02458	1	1
SOX6	1	COL2A1	P35712	P02458	1	1
FARP2	1	SOD2	O94887	P04179	1	1
PPARGC1A	1	SOD2	Q9UBK2	P04179	1	1
SIRT1	1	SOD2	Q96EB6	P04179	1	1
HBB	1	CYP2E1	P68871	P05181	1	1
HBA1	1	CYP2E1	P69905	P05181	1	1
HBB	-1	EDN1	P68871	P05305	1	1
HBA1	-1	EDN1	P69905	P05305	1	1
ACVR1B	1	HBB	P36896	P68871	1	1
ACVR1B	1	HBA1	P36896	P69905	1	1
AHSP	1	HBA1	Q9NZD4	P69905	1	1
ARSA	1	HBB	P15289	P68871	1	1
ARSA	1	HBA1	P15289	P69905	1	1
BCL11A	-1	HBG1	Q9H165	P69891	1	1
BCL11A	-1	HBG2	Q9H165	P69892	1	1
CSF2	1	HBG2	P04141	P69892	1	1
CTDSPL2	1	HBG2	Q05D32	P69892	1	1
CTDSPL2	1	HBG1	Q05D32	P69891	1	1
CTDSPL2	1	HBE1	Q05D32	P02100	1	1
EIF2AK1	-1	HBB	Q9BQI3	P68871	1	1
EIF2AK1	-1	HBA1	Q9BQI3	P69905	1	1
EGF	1	HBB	P01133	P68871	1	1
EPO	1	HBB	P01588	P68871	1	1
STAT5A	1	HBB	P42229	P68871	1	1
EGF	1	HBA1	P01133	P69905	1	1
EPO	1	HBA1	P01588	P69905	1	1
STAT5A	1	HBA1	P42229	P69905	1	1
EHMT2	1	HBB	Q96KQ7	P68871	1	1
CBP/p300	1	KLF1	SIGNOR-C6	Q13351	0	1
KLF1	1	HBB	Q13351	P68871	1	1
EPAS1	1	HBB	Q99814	P68871	1	1
EPAS1	1	HBA1	Q99814	P69905	1	1
ETV6	1	HBB	P41212	P68871	1	1
ETV6	1	HBA1	P41212	P69905	1	1
FGF2	-1	HBB	P09038	P68871	1	1
FGF2	-1	HBA1	P09038	P69905	1	1
TGFB1	1	HBB	P01137	P68871	1	1
TGFB1	1	HBA1	P01137	P69905	1	1
BCL11A	-1	HBG2	Q9H165	P69892	1	1
BCL11A	-1	HBG1	Q9H165	P69891	1	1
Droxinostat	-1	HDAC6	CID:568416	Q9UBN7	0	1
GATA1	-1	HBG2	P15976	P69892	1	1
GATA1	-1	HBG1	P15976	P69891	1	1
SOX6	-1	HBG2	P35712	P69892	1	1
SOX6	-1	HBG1	P35712	P69891	1	1
HPX	-1	HBB	P02790	P68871	1	1
HLTF	1	HBB	Q14527	P68871	1	1
NOD1	1	ATG16L1	Q9Y239	Q676U5	1	1
HMOX1	-1	HBA1	P09601	P69905	1	1
HMOX2	-1	HBA1	P30519	P69905	1	1
TNF	1	NOD2	P01375	Q9HC29	1	1
IFNG	1	NOD2	P01579	Q9HC29	1	1
TNF	1	RIPK2	P01375	O43353	1	1
FOXC1	1	RBPJ	Q12948	Q06330	1	1
RXRA	1	RARG	P19793	P13631	1	1
EIF2AK1	-1	EIF2S1	Q9BQI3	P05198	1	1
EIF2S1	1	HBG2	P05198	P69892	1	1
EIF2S1	1	HBG1	P05198	P69891	1	1
EIF2S1	1	ATF4	P05198	P18848	1	1
CD163	-1	hb:hp	Q86VB7	SIGNOR-C149	1	0
CRP	-1	IL10	P02741	P22301	1	1
CRP	-1	IL10	P02741	P22301	1	1
KLF11	1	HBG2	O14901	P69892	1	1
KLF11	1	HBG1	O14901	P69891	1	1
KLF11	1	HBE1	O14901	P02100	1	1
KLF2	1	HBE1	Q9Y5W3	P02100	1	1
MIF	-1	HBB	P14174	P68871	1	1
MIF	-1	HBA1	P14174	P69905	1	1
MAPK11	1	HBB	Q15759	P68871	1	1
MAPK11	1	HBA1	Q15759	P69905	1	1
MAPK14	1	HBB	Q16539	P68871	1	1
MAPK14	1	HBA1	Q16539	P69905	1	1
NFE2	1	HBB	Q16621	P68871	1	1
NFE2	1	HBG2	Q16621	P69892	1	1
NFE2	1	HBG1	Q16621	P69891	1	1
NFE2	1	HBE1	Q16621	P02100	1	1
NFE2	1	HBD	Q16621	P02042	1	1
NCL	1	HBB	P19338	P68871	1	1
APOA5	1	LPL	Q6Q788	P06858	1	1
APOC2	1	LPL	P02655	P06858	1	1
TGFB1	1	LPL	P01137	P06858	1	1
IFNG	-1	LPL	P01579	P06858	1	1
PPARA	1	LPL	Q07869	P06858	1	1
APOC3	-1	LPL	P02656	P06858	1	1
IFNG	1	RIPK2	P01579	O43353	1	1
PRL	-1	LPL	P01236	P06858	1	1
CRP	1	LPL	P02741	P06858	1	1
TNF	-1	LPL	P01375	P06858	1	1
CTDNEP1	-1	BMPR2	O95476	Q13873	1	1
IFNG	-1	LPL	P01579	P06858	1	1
TNF	-1	LPL	P01375	P06858	1	1
IL1B	-1	LPL	P01584	P06858	1	1
INS	1	LPL	P01308	P06858	1	1
INS	1	LPL	P01308	P06858	1	1
IFNA10	-1	LPL	P01566	P06858	1	1
FBN1	-1	EFEMP2	P35555	O95967	1	1
NOD1	1	NfKb-p65/p50	Q9Y239	SIGNOR-C13	1	0
IGF1	1	FBN1	P05019	P35555	1	1
IGF1R	1	FBN1	P08069	P35555	1	1
IL1B	-1	GDF5	P01584	P43026	1	1
NOG	-1	GDF5	Q13253	P43026	1	1
TRPS1	-1	GDF5	Q9UHF7	P43026	1	1
GDF5	1	TRPS1	P43026	Q9UHF7	1	1
ASH2L	1	TBX1	Q9UBL3	O43435	1	1
TBX1	1	FLT4	O43435	P35916	1	1
PITX2	-1	TBX1	Q99697	O43435	1	1
GDF5	1	ID1	P43026	P41134	1	1
GDF5	1	ID3	P43026	Q02535	1	1
PAX6	1	PAX6	P26367	P26367	1	1
NOD2	1	NfKb-p65/p50	Q9HC29	SIGNOR-C13	1	0
TGFB1	-1	PAX6	P01137	P26367	1	1
SMAD3	-1	PAX6	P84022	P26367	1	1
E2F1	1	CTNND2	Q01094	Q9UQB3	1	1
HES1	-1	CTNND2	Q14469	Q9UQB3	1	1
PAX6	1	CTNND2	P26367	Q9UQB3	1	1
KRT1	1	APC	P04264	P25054	1	1
CRH	1	KRT1	P06850	P04264	1	1
IL1B	-1	KRT1	P01584	P04264	1	1
TGFB1	-1	KRT1	P01137	P04264	1	1
KRT1	1	MPO	P04264	P05164	1	1
FBN1	1	MMP1	P35555	P03956	1	1
FBN1	1	TGFB1	P35555	P01137	1	1
FBN1	1	SMAD2	P35555	Q15796	1	1
IL1A	-1	FBN1	P01583	P35555	1	1
LTBP2	1	FBN1	Q14767	P35555	1	1
ERK1/2	-1	RAF1	SIGNOR-PF1	P04049	0	1
PPP2CA	1	RAF1	P67775	P04049	1	1
IGF1R	1	FBN1	P08069	P35555	1	1
DCN	1	FBN1	P07585	P35555	1	1
RIPK2	1	IKBKG	O43353	Q9Y6K9	1	1
WNT3A	1	FBN1	P56704	P35555	1	1
ITGA6	1	PMP22	P23229	Q01453	1	1
ITGB4	1	PMP22	P16144	Q01453	1	1
PMP22	1	ITGA6	Q01453	P23229	1	1
CRH	-1	KRT14	P06850	P02533	1	1
UV stress	1	KRT14	SIGNOR-ST7	P02533	0	1
EGFR	1	KRT14	P00533	P02533	1	1
PRL	1	KRT14	P01236	P02533	1	1
PRL	1	KRT5	P01236	P13647	1	1
PRL	1	KRT15	P01236	P19012	1	1
PRL	1	KRT19	P01236	P08727	1	1
KRT14	-1	TNFRSF1A	P02533	P19438	1	1
KRT14	-1	TRADD	P02533	Q15628	1	1
HSP90AA1	1	NOD2	P07900	Q9HC29	1	1
HSP90AB1	1	NOD2	P08238	Q9HC29	1	1
HSPA1A	1	NOD2	P0DMV8	Q9HC29	1	1
HSPA1B	1	NOD2	P0DMV9	Q9HC29	1	1
GDF5	1	Cartilage development	P43026	SIGNOR-PH75	1	0
GDF5	1	Ossification	P43026	SIGNOR-PH74	1	0
NOG	-1	GDF5	Q13253	P43026	1	1
UFD1	-1	CD4	Q92890	P01730	1	1
NPLOC4	1	UFD1	Q8TAT6	Q92890	1	1
VCP	1	NPLOC4	P55072	Q8TAT6	1	1
VCP	1	UFD1	P55072	Q92890	1	1
